no,text,tags,emotion
1,마음속에서만큼은 절대 시들지 않는 늘 활짝 핀 꽃이 되어줬으면 해.daw.nmoonlight※※※※※※※※,"['#글귀', '#인생글귀', '#글귀스타그램', '#글스타그램', '#좋은글', '#글', '#공감글', '#글스타', '#좋은글귀', '#힐링글귀', '#응원글귀', '#공감', '#에세이', '#감성글귀', '#사랑', '#커플', '#연애', '#사진', '#사랑글귀', '#인생글귀', '#작가', '#글씨스타그램', '#기록', '#명언', '#좋아요', '#좋반', '#좋아요테러', '#맞팔', '#팔로우환영', '#소통', '#감사합니다']",사랑
2,"<별이 되겠습니다, 단일>별이 될 겁니다사람은 죽으면 별이 된다고 하죠저 하늘의 별이 되었단다...라고 하시던 할머니의 말씀처럼저는 별이 되고 싶습니다마무리 짓지 못하고 별이 되어버린 후내 사람들 밤길을 비추는 별이 될 겁니다서둘러 별이 되고 싶습니다별이 될 겁니다",['#단일'],사랑
3,"🌳마음도 살랑이는 봄, 설레는 로맨스 『더 사이트 오브 유』⠀다들 행복한 봄맞이하고 계시나요?벚꽃도 만개하고,날씨도 따뜻해지니 정말 봄이 온 것 같아요.⠀자고로 ‘봄’🌸하면 로맨스가 떠오르죠.사랑 노래를 듣게 되고,달달하고 풋풋한 연애 이야기를 찾게 되고요!⠀로맨스 소설이자 삶과 사랑의 방식을 선택하는 것에 대해 생각하게 만드는 깊이 있는 휴먼 드라마 『더 사이트 오브 유』가 떠오르는 계절입니다.⠀❝사랑하는 사람들에 관한 예지몽을 꾸는남자에게 운명적으로 찾아온 사랑❞⠀감정들의 표현이 정말 섬세하고,사랑과 이별 그리고 재회까지너무 현실적이라 더욱 공감하며 빠져들게 되는📗로맨스 소설 『더 사이트 오브 유』⠀봄바람이 살랑살랑 불어오는 요즘,딱 이맘때 읽어야 더 설렘 가득한 책이랍니다☺️",[],사랑
4,매주 수요일은 가르침을 뒤로하고 학생으로 돌아가 배웁니다..그 배움이 너무 좋습니다.참...그리웠거던요....,"['#글지', '#평심', '#조기종', '#캘리', '#캘리그라피', '#캘리스타그램', '#손글씨', '#감성글씨', '#붓글씨', '#펜글씨', '#예쁜글씨', '#짧은글귀', '#이천', '#calligraphy', '#사랑', '#첫사랑', '#행복', '#꽃', '#드라이플라워', '#한글멋글씨', '#출간회', '#첫눈에반하다', '#수강생모집', '#참좋은사람', '#글지', '#캘리그라피연구소']",사랑
5,Day212 대학 생활 일상일이많았어요😣그래도 새로운 걸 배워야 돼요진짜 재미있다 진짜 멋지다 ！解鎖人生新成就🔓機車 檔車 自排手排車就差不會開大卡車了🤣-人生要多嘗試要多學習新東西人生要勇敢才不會後悔-感謝美攝☺️ @qk._.0930 ,"['#2022년', '#일생', '#오토바이', '#완성', '#사랑', '#182', '#처음애']",사랑
6,💚가족이 함께하는 슬기로운 예절교실💚접수일:2022/4/11(월)~4/15(금)접수처:서산문화원 1층 사무실접수방법:방문접수(선착순 접수)접수대상:초등학생(회차마다 상이)*2021년도 참여자 신청 불가많은 관심 부탁드립니다🤍,"['#서산문화원', '#어린이', '#교육', '#인성', '#가족', '#효문화', '#효', '#좋아요', '#많관부', '#많응부', '#초등학생', '#학생', '#서산', '#충청남도', '#봄', '#가정', '#어린이', '#사랑', '#애정', '#엄마', '#아빠', '#패밀리', '#일일체험', '#어버이날', '#어린이날', '#효', '#가정의달', '#스승의날', '#서산', '#충청도', '#대전', '#참여자모집', '#모집']",사랑
7,"안녕하세요? 강성구입니다. 제목 : 시편 27편 1~2절 : 다윗이 보유했던 천하무적의 3중 방패여호와는 나의 빛이요 나의 구원이시니 내가 누구를 두려워하리요 여호와는 내 생명의 능력이시니 내가 누구를 무서워하리요 나의 대적, 나의 원수된 행악자가 내 살을 먹으려고 내게로 왔다가 실족하여 넘어졌도다시편 27:1‭-‬2 칼빈은 위의 말씀을 설명하면서 다윗이 가진 방패는 육적 죽음에 대한 공포를 영적으로 극복하게 해주는 3중(threefold) 방패라고 설명했습니다. 즉, 그 방패는 나의 빛, 나의 구원, 내 생명의 능력으로 구성된 방패이기에 칼빈은 3중 방패라 칭했던 것이지요.진정한 자유는 육적 죽음을 이기는 자유지요. 오직 하나님만이 우리에게 주실 수 있는 자유인 것입니다. 다윗은 하나님을 자신의 빛과 자신의 구원으로, 더 나아가 자신의 생명의 능력이라 믿었습니다. 그러한 영적 확신이 다윗으로 하여금 모든 육적인 공포들을 이기게 만들어 주었지요.그렇습니다. 우리도 성령의 방패인 3중 방패를 성령께 받은 상태입니다. 다윗만 가진 것이 아닙니다. 우리도 가졌지요.그러니 3중 방패를 들고 기쁨으로 영적 전투에 임합시다. 우리는 백전백승의 그리스도의 군사들입니다.","['#성경', '#진리', '#하나님', '#예수님', '#그리스도', '#바울', '#신약', '#구약', '#복음', '#요한', '#다윗', '#종교개혁', '#칼빈', '#성경공부', '#은혜', '#사랑', '#영광', '#감사', '#찬양', '#기도', '#시편', '#십자가', '#천국', '#성령', '#겸손', '#성령', '#평안', '#부활', '#생명']",사랑
8,"Loveletter i 15Umbrella하나의 우산은 비오는 날도, 맑은 날도맑은 날은 햇빛을 가리는 하나의 몸이 되고비오는 날은 비를 막아주는 하나의 맘이 되고.그래서 우산은 사랑하는 이들의 상징이자, 증거이다.","['#loveletter', '#i', '#iloveletter', '#iloveletterseries', '#flower', '#flowers', '#art', '#love', '#lovestory', '#story', '#사랑', '#whatislove', '#both', '#bothsides', '#우산', '#양산', '#singingintherain', '#youaremysunshine', '#umbrella', '#2become1', '#two', '#one', '#couple', '#yellow', '#purple']",사랑
9,"건강은 자랑하지 말라고 했던가요?🙂🙂🙂근데, 자랑이라기 보다 정말 신기해서요, 긴 글이지만 올립니다🙂3월 중순, 코로나에 걸려 고열로 먹은거 다 토하고 하루하고 반나절을 꼬박힘들어했던 초딩3학년 딸램.그 전날에도 뽀뽀하고 안고 같이 밥먹고,힘들었던 그 날도 토한거 제 몸에 다 튀고,차에서도 토하고, 몇일간은 제가 다 씻기고,방 청소도 하고, 밤새 열나서 닦이고 옆에서 자고 하고를 반복해서도저는 끝까지 음성이었어요.(사실 신랑도 딸램이랑 침 튀기며 깔깔깔 그 전날까지 놀고 했는데도 음성. ㅎㅎㅎ)혹시나 목이 아픈가 일부러 침도넘겨보고했는데, 아프지 않더라구요😱'이번엔 운이 좋구나!' 하고 감사하며 넘겼는데, 왠걸요....!얼마지나고, 지인분이 코로나 확진. 중요한건 그 분과 증상 있던 날부터 해서3일간 연속으로 함께 밥도 먹고, 커피도 마시고, 케익 한조각도 사이좋게나눠먹고, 하물며 남긴 커피까지마셨었죠.(세상에😱 겁도 없이..)그날 저녁, 두 줄이 나왔다는 연락을 받고.'아. 큰일났네! 이건 빼박!!!!' 저도 맘의 준비를하고 준감염자 생활(집에서 마스크하고, 가족에게 전염될까 화장실도 따라 사용하고 등 ㅎㅎㅎ)을 3일간 하는데,다들 어떠냐 물어보는데....전 증상이 없더라구요.혹시 무증상감염인가 싶어 코를 찔러봐도 음성.다들, ""이럴순없다!!!😱""이거였죠.곰곰히 생각해보니 운이 좋다기보다는지금 저의 몸 면역력이 한층 좋아져서그렇구나. 라고 생각이 들었어요.현재, ","['#TR90', '#TR90하세요', '#두번드시고세번드시고', '#평생드세요🙂🙂🙂']",사랑
10,".오늘 날씨 우중충해도기분좋은 하루 보내고 계시죠?😊자녀들을 위한 기도모임너무나 감사한 시간❤몇 년전에 여에스더 박사님과 파리 출장갔을 때 에스더 쌤께서 선물해주신 블루컬러 캐시미어 니트 입고, 에이치제이메종 네크리스하고💕 언니들이 네크리스 너무 예쁘다고 바로 구매할 수 없냐고🤣 외출시 함께한 ","['#블레싱벨어제', '#오늘', '#일상', '#감사', '#매일', '#사랑', '#축복']",사랑
