no,text,tags,emotion
1,"‘오류’가끔은 마음에 오류가 올 때가 있는거 같아요. 그게 수많은 일들 때문일수도 있고, 누군가로부터 일수도 있고요. 그러한 순간들에 건네준 한마디, 곁에서 기다려준 당신. 이 모든 것들이 투정버리던 나에게 크게 와닿는거 같아요. 매일매일을 좋은 모습으로 온전히 살아가기 어려운게 사람이기에. 누군가와 같이 공존하며 살아가는게 삶인거 같습니다. 서로를 의지하며 나아갈 수 있도록요. 한편으로 독으로 다가올 수 있는게 관계이고, 만남이지만 같은 마음으로 바라봐주었으면 하는 마음입니다. 벚꽃이 만개하여 봄바람을 타고 흩날리는 꽃잎에 미소를 지어보며 설렘을 부여해봅니다.“오류가 있었기에 당신을 다시 바라볼 수 있었다”",[],행복
2,가끔은 상황에 기분을 맞추기보다는. 기분으로 상황을 이기면서 그렇게 살자. 웃으면 복이 온다는 말처럼. 많이 웃고 덤으로 복도 받고 그렇게 재밌게 살자. 특별한 인생을 만들어 가는 것도 결국은 내가 해야 하는 일이니깐. 하루하루 웃으면서 특별하게 사는 것도 좋잖아.daw.nmoonlight※※※※※※※※,"['#글귀', '#인생글귀', '#글귀스타그램', '#글스타그램', '#좋은글', '#글', '#공감글', '#글스타', '#좋은글귀', '#힐링글귀', '#응원글귀', '#공감', '#에세이', '#감성글귀', '#사랑', '#사랑글귀', '#인생글귀', '#작가', '#글씨스타그램', '#기록', '#명언', '#좋아요', '#좋반', '#좋아요테러', '#맞팔', '#일상', '#행복', '#팔로우환영', '#소통', '#소통해요', '#감사합니다']",행복
3,매주 수요일은 가르침을 뒤로하고 학생으로 돌아가 배웁니다..그 배움이 너무 좋습니다.참...그리웠거던요....,"['#글지', '#평심', '#조기종', '#캘리', '#캘리그라피', '#캘리스타그램', '#손글씨', '#감성글씨', '#붓글씨', '#펜글씨', '#예쁜글씨', '#짧은글귀', '#이천', '#calligraphy', '#사랑', '#첫사랑', '#행복', '#꽃', '#드라이플라워', '#한글멋글씨', '#출간회', '#첫눈에반하다', '#수강생모집', '#참좋은사람', '#글지', '#캘리그라피연구소']",행복
4,어린 삵을 자연으로 돌려보내는 수의사🐶귀욤 동물짤 보러가기 👉 @dog._.angry ━━━━━━━━━━━━━━━...,"['#삵', '#자연', '#보호', '#방사', '#자연방사', '#헤어짐', '#아쉬움', '#눈물', '#행복', '#행복해야해', '#강아지', '#고양이', '#반려동물', '#댕댕이', '#냐옹이', '#동물스타그램', '#행복짤']",행복
5,"[ 고통은.. ]고통은 찻잔속의 폭풍과도 같다 .찻잔안을 들여다 볼 때는 그 고통에 숨이 막힐 것 같지만눈을 들어 찻잔을 보면 고통은 찻잔 안에서 일어 나는작은 소동에 지나지 않는다.찻잔 그 자체는 어떤 것에도 영향을 받지 않고,그저 평화로울 뿐이다.  _성불하소서 _()()()_ == 석일행 스님 == ","['#불교', '#BUDDHA', '#참선', '#생사해탈', '#불교공부', '#연공최귀', '#명상', '#탄허학', '#수행', '#자비', '#행복', '#지혜', '#불자']",행복
6,.Main character : 오은영(정신건강의학과 의사)Storytelling : @doing_people.2차자료수집후재구성함사진 출처 : 오은영의금쪽상담소 방송화면.,"['#DOwhateveryouwant', '#한번사는인생행복하게살아요💛', '#사람사는이야기', '#인간관계', '#관계', '#위로', '#공감', '#감정', '#응원', '#동기부여', '#화이팅', '#오은영', '#선한영향력', '#행복', '#지금', '#하고들있네', '#두잉피플', '#DO']",행복
7,봄을 전해주는 이쁜사진 전달 받아글씨 올려봤어요~~우중충한 날씨를 좋아하는 사람이라오늘따라 모든 말이며 행동이 차분해지고..시간은 잔잔하게 흐르는것 같아요!오늘도 즐거운 하루 보내세요^^ ,"['#아날로그감성', '#아날로그사람글씨쓰는', '#유튜브', '#youtube', '#구독과좋아요', '#사랑입니다', '#캘리그라피', '#순천캘리그라피', '#하유서실', '#마음', '#디자인', '#그림', '#붓펜캘리그라피', '#calligraphy', '#캘리배우기', '#감성사진', '#글씨', '#하유글씨', '#일상', '#공감', '#행복', '#감사', '#힐링']",행복
8,"성장일기 2🍼D+100시간이 언제 이렇게 지났나 싶게 벌써 백일이 지난 막둥이😅미국에서 우리끼리 조촐하게나마백일기념한다고 급조했던 날 ㅋㅋ아이들이 크는걸 볼때면,빨리컸으면 하면서도 너무 훌쩍 커버린 모습을 보며언제 이렇게 컸나싶어 아쉬울때가 있는대유독 막내는 더 빨리 크는 느낌이 들어 아쉬움이 더 큰것같다.이젠 컸다고, 혼자두면 심심하다고 소리내다가도눈만 마주치면 좋다고 싱글벙글 😄눈에 보이는 것들이 마냥 신기한 요즘~하루하루가 다르게 잘 크고 있는 중🥰","['#백일', '#백일촬영', '#self', '#급조', '#뭔들어떠하리', '#귀엽기만하구만', '#😆', '#막둥이', '#둘째아들', '#eyecontact', '#눈웃음', '#살인미소', '#어디서배웠니ㅋ', '#잘크는중', '#감사', '#행복', '#사랑이많은아이로자라길', '#수고했다', '#우리가족💕']",행복
9,감사한 초대💓나의 집을 오픈하는것 누군가에게는 쉬운일 일수도 있지만 내게는 결코 쉽지않은 일먼저 손 내밀어주시고 초대해주신 고마운 인연😄그녀를 통해 나도 보이고 나의 남편도 보이고 사랑하는 동생도 생각난 날다양한 경험과 도전을 즐기는 그녀에게 배우고싶은 점이 참 많았다“사람 사는거 다~ 똑같애 다르게 살고 싶어질때부터 힘들어 지는거야”라고 말해주는 좋은친구가 있는 그녀는 부자였다아무말 하지않아도 위로가 되는 친구 한명은 그 어떤 것으로도 대신할수 없다오늘도 참 감사하다🌷결코 우연이 아닌 소중한 인연^^또 만나요🌼@nayana.ek ,"['#정리마미', '#일상', '#초대', '#만남', '#차한잔', '#감사', '#배움', '#기록', '#행복', '#사랑', '#소중한인연']",행복
10,물 만난 하림 💛앞으로 키카 갈 때 500원 동전 두 개 준비해야 할 판 🪙 🪙 너무 잘 놀아서 다음주에 또 오기로 했다 🌝오하림… 자기는 설현이 만지면서 설현이가 만지거나 보면 왜 우냐고 😮‍💨 어쩔 수 없이 자주 만나는 걸로 😘,"['#친구랑키카', '#10개월아기']",행복
11,밀양 아주르키즈풀빌라펜션 두번째 방문^^이번엔 조카들도 함께~ 물놀이를 이래 많이 하다니ㅋㅋ 조카들이 너무 좋다고 엄지척ㅋ 울 지야도 언니오빠 있으니 더 잘 노는ㅋ 귀요미들~ ,"['#밀양', '#아주르키즈풀빌라', '#여행', '#수영장', '#물놀이', '#바베큐', '#테라스', '#실내놀이터', '#외할머니', '#조카', '#튜브', '#수영복', '#구명조끼', '#즐거움', '#만족', '#행복', '#딸', '#신이남', '#육아맘', '#딸바보맘', '#매력쟁이', '#사랑해']",행복
12,귀염뽀짝 꽃사탕 키친크로스 🌼🍭이렇게 셋뚜셋뚜로도 데려가시는 아이에요거즈원단으로 쓰시면 쓰실수록 물흡수도 👍얼른 데려가세요 🙂🥰,[],행복
